job,status,returncode,seconds,log
Table2_Baseline_ETTh1_p96,complete,0,891.1,/home/u4290247/DistilTS-ICASSP2026/core_reproduction_logs/Table2_Baseline_ETTh1_p96.log
Table2_Baseline_ETTh1_p96,skipped-complete,0,0.0,/home/u4290247/DistilTS-ICASSP2026/core_reproduction_logs/Table2_Baseline_ETTh1_p96.log
Table2_OnlyHW_ETTh1_p96,complete,0,3291.1,/home/u4290247/DistilTS-ICASSP2026/core_reproduction_logs/Table2_OnlyHW_ETTh1_p96.log
Table2_OnlyFTA_ETTh1_p96,complete,0,3457.6,/home/u4290247/DistilTS-ICASSP2026/core_reproduction_logs/Table2_OnlyFTA_ETTh1_p96.log
Table2_FullDistilTS_ETTh1_p96,complete,0,3416.0,/home/u4290247/DistilTS-ICASSP2026/core_reproduction_logs/Table2_FullDistilTS_ETTh1_p96.log
Table2_Baseline_ETTh1_p192,complete,0,874.6,/home/u4290247/DistilTS-ICASSP2026/core_reproduction_logs/Table2_Baseline_ETTh1_p192.log
Table2_Baseline_ETTh1_p96,skipped-complete,0,0.0,/home/u4290247/DistilTS-ICASSP2026/core_reproduction_logs/Table2_Baseline_ETTh1_p96.log
Table2_OnlyHW_ETTh1_p96,skipped-complete,0,0.0,/home/u4290247/DistilTS-ICASSP2026/core_reproduction_logs/Table2_OnlyHW_ETTh1_p96.log
Table2_OnlyFTA_ETTh1_p96,skipped-complete,0,0.0,/home/u4290247/DistilTS-ICASSP2026/core_reproduction_logs/Table2_OnlyFTA_ETTh1_p96.log
Table2_FullDistilTS_ETTh1_p96,skipped-complete,0,0.0,/home/u4290247/DistilTS-ICASSP2026/core_reproduction_logs/Table2_FullDistilTS_ETTh1_p96.log
Table2_Baseline_ETTh1_p192,skipped-complete,0,0.0,/home/u4290247/DistilTS-ICASSP2026/core_reproduction_logs/Table2_Baseline_ETTh1_p192.log
Table2_OnlyHW_ETTh1_p192,skipped-complete,0,0.0,/home/u4290247/DistilTS-ICASSP2026/core_reproduction_logs/Table2_OnlyHW_ETTh1_p192.log
Table2_OnlyFTA_ETTh1_p192,complete,0,6878.1,/home/u4290247/DistilTS-ICASSP2026/core_reproduction_logs/Table2_OnlyFTA_ETTh1_p192.log
Table2_FullDistilTS_ETTh1_p192,complete,0,6835.2,/home/u4290247/DistilTS-ICASSP2026/core_reproduction_logs/Table2_FullDistilTS_ETTh1_p192.log
Table2_Baseline_ETTm2_p96,complete,0,919.4,/home/u4290247/DistilTS-ICASSP2026/core_reproduction_logs/Table2_Baseline_ETTm2_p96.log
Table2_OnlyHW_ETTm2_p96,complete,0,10872.4,/home/u4290247/DistilTS-ICASSP2026/core_reproduction_logs/Table2_OnlyHW_ETTm2_p96.log
Table2_OnlyFTA_ETTm2_p96,complete,0,11607.4,/home/u4290247/DistilTS-ICASSP2026/core_reproduction_logs/Table2_OnlyFTA_ETTm2_p96.log
Table2_FullDistilTS_ETTm2_p96,complete,0,11701.5,/home/u4290247/DistilTS-ICASSP2026/core_reproduction_logs/Table2_FullDistilTS_ETTm2_p96.log
Table2_Baseline_ETTm2_p192,complete,0,947.9,/home/u4290247/DistilTS-ICASSP2026/core_reproduction_logs/Table2_Baseline_ETTm2_p192.log
Table2_OnlyHW_ETTm2_p192,complete,0,25872.2,/home/u4290247/DistilTS-ICASSP2026/core_reproduction_logs/Table2_OnlyHW_ETTm2_p192.log
