timestamp,queue_running,process_count,process_cpu_percent,process_rss_mb,system_load_1m,system_ram_used_mb,system_ram_total_mb,gpu_util_percent,gpu_memory_used_mb,gpu_memory_total_mb,gpu_temperature_c,gpu_power_w,disk_used_gb,disk_free_gb
2026-08-04T08:24:39+08:00,1,2,102.0,2150.9,19.36,107933.6,772407.7,98,15275,32768,38,304.01,1060355.73,13155224.27
2026-08-04T08:24:49+08:00,1,2,102.0,1957.3,20.12,108755.5,772407.7,99,20055,32768,37,293.52,1060355.86,13155248.14
2026-08-04T08:24:59+08:00,1,2,102.0,2150.2,20.57,108242.3,772407.7,90,15717,32768,36,221.24,1060355.92,13155264.08
2026-08-04T08:25:09+08:00,1,2,102.0,1957.2,20.86,108116.4,772407.7,98,20637,32768,37,183.25,1060355.99,13155287.01
2026-08-04T08:25:19+08:00,1,2,102.0,1957.3,20.88,107868.6,772407.7,100,17453,32768,34,178.85,1060356.15,13155312.85
2026-08-04T08:25:29+08:00,1,2,102.0,2150.5,20.96,109101.2,772407.7,100,13533,32768,36,278.34,1060356.33,13155331.67
2026-08-04T08:25:39+08:00,1,2,102.0,1957.8,20.97,110129.3,772407.7,97,18615,32768,36,211.50,1060356.48,13155340.52
2026-08-04T08:25:49+08:00,1,2,102.0,2150.1,20.97,108826.6,772407.7,97,14635,32768,37,274.27,1060356.63,13155343.37
2026-08-04T08:25:59+08:00,1,2,102.0,1957.7,21.09,109472.1,772407.7,98,19755,32768,37,292.64,1060356.79,13155345.21
2026-08-04T08:26:09+08:00,1,2,102.0,2150.1,20.62,107693.7,772407.7,98,15715,32768,37,308.09,1060356.94,13156006.06
2026-08-04T08:26:19+08:00,1,2,102.0,1957.8,20.07,107101.5,772407.7,100,20635,32768,38,290.50,1060357.13,13155321.87
2026-08-04T08:26:29+08:00,1,2,102.0,2390.8,20.10,107524.1,772407.7,74,1051,32768,33,72.05,1060357.24,13155314.76
2026-08-04T08:26:39+08:00,1,2,102.0,1957.3,20.09,108024.1,772407.7,89,20637,32768,36,153.46,1060357.40,13155308.60
2026-08-04T08:26:49+08:00,1,2,102.0,1957.2,20.06,106770.1,772407.7,98,18035,32768,37,311.98,1060357.55,13155293.45
2026-08-04T08:26:59+08:00,1,2,102.0,2150.5,19.50,107032.9,772407.7,98,13975,32768,36,252.56,1060357.72,13155288.28
2026-08-04T08:27:09+08:00,1,2,102.0,1957.1,19.18,105977.2,772407.7,97,18895,32768,36,216.02,1060357.91,13155291.09
2026-08-04T08:27:19+08:00,1,2,102.0,2150.1,19.70,105746.2,772407.7,98,15075,32768,38,291.18,1060358.14,13155302.86
2026-08-04T08:27:29+08:00,1,2,102.0,1957.5,18.98,105530.9,772407.7,98,20055,32768,38,282.53,1060358.30,13155314.70
2026-08-04T08:27:39+08:00,1,2,102.0,2150.0,18.83,105848.3,772407.7,98,15719,32768,36,221.04,1060358.49,13155332.51
2026-08-04T08:27:49+08:00,1,2,103.0,1957.2,18.69,107860.6,772407.7,98,20635,32768,38,297.80,1060358.94,13155346.06
2026-08-04T08:27:59+08:00,1,2,103.0,2002.4,18.44,107653.6,772407.7,100,1811,32768,32,72.49,1060359.14,13155349.86
2026-08-04T08:28:09+08:00,1,2,103.0,2150.3,18.37,106482.3,772407.7,68,2117,32768,33,72.09,1060359.35,13155390.65
2026-08-04T08:28:20+08:00,1,2,103.0,1957.9,18.31,105936.4,772407.7,97,18035,32768,36,214.42,1060359.60,13155401.40
2026-08-04T08:28:30+08:00,1,2,103.0,2150.1,18.51,107494.7,772407.7,99,14195,32768,37,237.64,1060359.82,13155408.18
2026-08-04T08:28:40+08:00,1,2,103.0,1957.2,19.14,106068.7,772407.7,99,18897,32768,36,288.56,1060359.90,13155422.10
2026-08-04T08:28:50+08:00,1,2,103.0,2150.2,19.13,108484.1,772407.7,98,15075,32768,37,245.10,1060359.89,13155477.11
2026-08-04T08:29:00+08:00,1,2,103.0,1957.2,19.35,106820.4,772407.7,98,19755,32768,37,264.06,1060359.90,13155513.10
2026-08-04T08:29:10+08:00,1,2,103.0,2150.1,20.59,107541.9,772407.7,98,15717,32768,37,210.31,1060359.90,13155537.10
2026-08-04T08:29:20+08:00,1,2,103.0,1957.7,20.73,106232.0,772407.7,98,20637,32768,37,209.41,1060359.91,13155578.09
2026-08-04T08:29:30+08:00,1,2,103.0,1960.5,20.83,106346.0,772407.7,100,5173,32768,32,187.15,1060359.89,13155567.11
2026-08-04T08:29:40+08:00,1,2,103.0,2150.5,21.34,106949.0,772407.7,100,13533,32768,36,219.29,1060360.01,13155643.99
