job,status,last_epoch,last_iteration,mse,mae,rmse,parameters,inference_seconds,gpu_memory_mb,peak_memory_mb,log_file
Table2_Baseline_ETTh1_p192,complete,4,200,0.4269740581512451,0.44453009963035583,0.6534325480461121,"3,776,704",0.001691,47.76,56.75,core_reproduction_logs/Table2_Baseline_ETTh1_p192.log
Table2_Baseline_ETTh1_p96,complete,4,200,0.38592851161956787,0.41259074211120605,0.6212314367294312,"3,465,312",0.001631,44.38,53.01,core_reproduction_logs/Table2_Baseline_ETTh1_p96.log
Table2_Baseline_ETTm2_p192,complete,4,1000,0.24920345842838287,0.32054978609085083,0.49920281767845154,"3,776,704",0.001579,47.76,56.75,core_reproduction_logs/Table2_Baseline_ETTm2_p192.log
Table2_Baseline_ETTm2_p96,complete,4,1000,0.17938974499702454,0.26833799481391907,0.4235442578792572,"3,465,312",0.001548,44.38,53.01,core_reproduction_logs/Table2_Baseline_ETTm2_p96.log
Table2_FullDistilTS_ETTh1_p192,complete,4,200,0.4137786030769348,0.4343072772026062,0.6432562470436096,"3,776,704",0.001608,273.74,282.73,core_reproduction_logs/Table2_FullDistilTS_ETTh1_p192.log
Table2_FullDistilTS_ETTh1_p96,complete,4,200,0.3732510209083557,0.40187498927116394,0.6109427213668823,"3,465,312",0.001603,269.36,277.99,core_reproduction_logs/Table2_FullDistilTS_ETTh1_p96.log
Table2_FullDistilTS_ETTm2_p96,complete,4,1000,0.1715455949306488,0.26229310035705566,0.4141806364059448,"3,465,312",0.001651,269.36,277.99,core_reproduction_logs/Table2_FullDistilTS_ETTm2_p96.log
Table2_OnlyFTA_ETTh1_p192,complete,4,200,0.4137786030769348,0.4343072772026062,0.6432562470436096,"3,776,704",0.001645,273.74,282.73,core_reproduction_logs/Table2_OnlyFTA_ETTh1_p192.log
Table2_OnlyFTA_ETTh1_p96,complete,4,200,0.3732510209083557,0.40187498927116394,0.6109427213668823,"3,465,312",0.002008,269.36,277.99,core_reproduction_logs/Table2_OnlyFTA_ETTh1_p96.log
Table2_OnlyFTA_ETTm2_p192,incomplete,1,700,,,,,,,,core_reproduction_logs/Table2_OnlyFTA_ETTm2_p192.log
Table2_OnlyFTA_ETTm2_p96,complete,4,1000,0.1715455949306488,0.26229310035705566,0.4141806364059448,"3,465,312",0.002177,269.36,277.99,core_reproduction_logs/Table2_OnlyFTA_ETTm2_p96.log
Table2_OnlyHW_ETTh1_p192,complete,4,200,0.4148082137107849,0.43514305353164673,0.6440560817718506,"3,776,704",0.002381,269.99,278.98,core_reproduction_logs/Table2_OnlyHW_ETTh1_p192.log
Table2_OnlyHW_ETTh1_p96,complete,4,200,0.3820141553878784,0.40854355692863464,0.6180729269981384,"3,465,312",0.001684,266.61,275.24,core_reproduction_logs/Table2_OnlyHW_ETTh1_p96.log
Table2_OnlyHW_ETTm2_p192,complete,4,1000,0.23895351588726044,0.31303390860557556,0.48882871866226196,"3,776,704",0.001592,269.99,278.98,core_reproduction_logs/Table2_OnlyHW_ETTm2_p192.log
Table2_OnlyHW_ETTm2_p96,complete,4,1000,0.17325159907341003,0.2629874050617218,0.4162350296974182,"3,465,312",0.001685,266.61,275.24,core_reproduction_logs/Table2_OnlyHW_ETTm2_p96.log
