nohup: ignoring input
Mon Jun  1 00:55:56 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:55:56.182, Tesla V100-SXM2-32GB, 0 MiB, 32768 MiB, 0 %, 40.87 W
Mon Jun  1 00:56:26 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:56:26.214, Tesla V100-SXM2-32GB, 5043 MiB, 32768 MiB, 77 %, 291.08 W
Mon Jun  1 00:56:56 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:56:56.259, Tesla V100-SXM2-32GB, 10083 MiB, 32768 MiB, 100 %, 219.52 W
Mon Jun  1 00:57:26 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:57:26.292, Tesla V100-SXM2-32GB, 15111 MiB, 32768 MiB, 100 %, 270.96 W
Mon Jun  1 00:57:56 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:57:56.322, Tesla V100-SXM2-32GB, 15121 MiB, 32768 MiB, 99 %, 277.98 W
Mon Jun  1 00:58:26 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:58:26.353, Tesla V100-SXM2-32GB, 15121 MiB, 32768 MiB, 100 %, 288.53 W
Mon Jun  1 00:58:56 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:58:56.429, Tesla V100-SXM2-32GB, 20723 MiB, 32768 MiB, 100 %, 253.23 W
Mon Jun  1 00:59:26 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:59:26.475, Tesla V100-SXM2-32GB, 25191 MiB, 32768 MiB, 100 %, 253.55 W
Mon Jun  1 00:59:56 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:59:56.530, Tesla V100-SXM2-32GB, 25201 MiB, 32768 MiB, 100 %, 270.47 W
Mon Jun  1 01:00:26 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:00:26.581, Tesla V100-SXM2-32GB, 25201 MiB, 32768 MiB, 100 %, 269.01 W
Mon Jun  1 01:00:56 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:00:56.649, Tesla V100-SXM2-32GB, 25201 MiB, 32768 MiB, 100 %, 223.77 W
Mon Jun  1 01:01:26 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:01:26.725, Tesla V100-SXM2-32GB, 25201 MiB, 32768 MiB, 100 %, 260.86 W
Mon Jun  1 01:01:56 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:01:56.762, Tesla V100-SXM2-32GB, 25201 MiB, 32768 MiB, 100 %, 237.29 W
Mon Jun  1 01:02:26 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:02:26.807, Tesla V100-SXM2-32GB, 25201 MiB, 32768 MiB, 100 %, 253.38 W
Mon Jun  1 01:02:56 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:02:56.838, Tesla V100-SXM2-32GB, 25201 MiB, 32768 MiB, 100 %, 250.30 W
Mon Jun  1 01:03:26 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:03:26.901, Tesla V100-SXM2-32GB, 25201 MiB, 32768 MiB, 100 %, 233.23 W
Mon Jun  1 01:03:56 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:03:56.991, Tesla V100-SXM2-32GB, 25201 MiB, 32768 MiB, 100 %, 229.78 W
Mon Jun  1 01:04:27 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:04:27.094, Tesla V100-SXM2-32GB, 25201 MiB, 32768 MiB, 100 %, 271.09 W
Mon Jun  1 01:04:57 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:04:57.160, Tesla V100-SXM2-32GB, 25201 MiB, 32768 MiB, 100 %, 269.50 W
Mon Jun  1 01:05:27 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:05:27.246, Tesla V100-SXM2-32GB, 25299 MiB, 32768 MiB, 100 %, 238.09 W
Mon Jun  1 01:05:57 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:05:57.330, Tesla V100-SXM2-32GB, 25299 MiB, 32768 MiB, 100 %, 210.24 W
Mon Jun  1 01:06:27 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:06:27.399, Tesla V100-SXM2-32GB, 25299 MiB, 32768 MiB, 100 %, 267.02 W
Mon Jun  1 01:06:57 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:06:57.484, Tesla V100-SXM2-32GB, 25305 MiB, 32768 MiB, 100 %, 269.32 W
Mon Jun  1 01:07:27 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:07:27.559, Tesla V100-SXM2-32GB, 25305 MiB, 32768 MiB, 100 %, 258.74 W
Mon Jun  1 01:07:57 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:07:57.626, Tesla V100-SXM2-32GB, 25403 MiB, 32768 MiB, 100 %, 274.69 W
Mon Jun  1 01:08:27 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:08:27.694, Tesla V100-SXM2-32GB, 25403 MiB, 32768 MiB, 100 %, 245.43 W
Mon Jun  1 01:08:57 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:08:57.729, Tesla V100-SXM2-32GB, 25501 MiB, 32768 MiB, 100 %, 263.15 W
Mon Jun  1 01:09:27 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:09:27.775, Tesla V100-SXM2-32GB, 25501 MiB, 32768 MiB, 98 %, 225.24 W
Mon Jun  1 01:09:57 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:09:57.860, Tesla V100-SXM2-32GB, 25507 MiB, 32768 MiB, 100 %, 259.08 W
Mon Jun  1 01:10:27 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:10:27.933, Tesla V100-SXM2-32GB, 25507 MiB, 32768 MiB, 100 %, 244.77 W
Mon Jun  1 01:10:57 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:10:57.991, Tesla V100-SXM2-32GB, 25513 MiB, 32768 MiB, 100 %, 240.38 W
Mon Jun  1 01:11:28 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:11:28.054, Tesla V100-SXM2-32GB, 25611 MiB, 32768 MiB, 100 %, 228.02 W
Mon Jun  1 01:11:58 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:11:58.111, Tesla V100-SXM2-32GB, 25709 MiB, 32768 MiB, 100 %, 242.66 W
Mon Jun  1 01:12:28 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:12:28.179, Tesla V100-SXM2-32GB, 25709 MiB, 32768 MiB, 100 %, 231.59 W
Mon Jun  1 01:12:58 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:12:58.241, Tesla V100-SXM2-32GB, 25709 MiB, 32768 MiB, 100 %, 267.68 W
Mon Jun  1 01:13:28 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:13:28.330, Tesla V100-SXM2-32GB, 25715 MiB, 32768 MiB, 100 %, 282.79 W
Mon Jun  1 01:13:58 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:13:58.375, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 246.40 W
Mon Jun  1 01:14:28 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:14:28.477, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 235.18 W
Mon Jun  1 01:14:58 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:14:58.544, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 254.20 W
Mon Jun  1 01:15:28 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:15:28.600, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 275.66 W
Mon Jun  1 01:15:58 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:15:58.651, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 237.78 W
Mon Jun  1 01:16:28 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:16:28.715, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 235.34 W
Mon Jun  1 01:16:58 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:16:58.793, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 274.69 W
Mon Jun  1 01:17:28 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:17:28.835, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 276.64 W
Mon Jun  1 01:17:58 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
