Mon Jun  1 00:40:28 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:40:28.950, Tesla V100-SXM2-32GB, 0 MiB, 32768 MiB, 0 %, 41.36 W
Mon Jun  1 00:40:33 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:40:33.983, Tesla V100-SXM2-32GB, 0 MiB, 32768 MiB, 0 %, 40.89 W
Mon Jun  1 00:40:38 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:40:39.015, Tesla V100-SXM2-32GB, 0 MiB, 32768 MiB, 0 %, 41.36 W
Mon Jun  1 00:40:44 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:40:44.048, Tesla V100-SXM2-32GB, 0 MiB, 32768 MiB, 0 %, 41.36 W
Mon Jun  1 00:40:49 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:40:49.081, Tesla V100-SXM2-32GB, 0 MiB, 32768 MiB, 0 %, 41.36 W
Mon Jun  1 00:40:54 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:40:54.114, Tesla V100-SXM2-32GB, 0 MiB, 32768 MiB, 0 %, 41.36 W
Mon Jun  1 00:40:59 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:40:59.146, Tesla V100-SXM2-32GB, 0 MiB, 32768 MiB, 0 %, 40.89 W
Mon Jun  1 00:41:04 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:41:04.179, Tesla V100-SXM2-32GB, 0 MiB, 32768 MiB, 0 %, 40.87 W
Mon Jun  1 00:41:09 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
